dado: 53.620000, bin_esq: 53.600000, bin_dir: 53.700000, local_j = 536
dado: 9.150000, bin_esq: 9.100000, bin_dir: 9.200000, local_j = 91
dado: 71.840000, bin_esq: 71.800000, bin_dir: 71.900000, local_j = 718
dado: 81.070000, bin_esq: 81.000000, bin_dir: 81.100000, local_j = 810
dado: 47.870000, bin_esq: 47.800000, bin_dir: 47.900000, local_j = 478
dado: 99.050000, bin_esq: 99.000000, bin_dir: 99.100000, local_j = 990
dado: 75.660000, bin_esq: 75.600000, bin_dir: 75.700000, local_j = 756
dado: 52.500000, bin_esq: 52.400000, bin_dir: 52.500000, local_j = 524
dado: 98.840000, bin_esq: 98.800000, bin_dir: 98.900000, local_j = 988
dado: 10.180000, bin_esq: 10.100000, bin_dir: 10.200000, local_j = 101
dado: 40.810000, bin_esq: 40.800000, bin_dir: 40.900000, local_j = 408
dado: 4.030000, bin_esq: 4.000000, bin_dir: 4.100000, local_j = 40
dado: 36.770000, bin_esq: 36.700000, bin_dir: 36.800000, local_j = 367
dado: 77.740000, bin_esq: 77.700000, bin_dir: 77.800000, local_j = 777
dado: 8.330000, bin_esq: 8.300000, bin_dir: 8.400000, local_j = 83
dado: 96.120000, bin_esq: 96.100000, bin_dir: 96.200000, local_j = 961
dado: 56.990000, bin_esq: 56.900000, bin_dir: 57.000000, local_j = 569
dado: 41.530000, bin_esq: 41.500000, bin_dir: 41.600000, local_j = 415
dado: 71.680000, bin_esq: 71.600000, bin_dir: 71.700000, local_j = 716
dado: 97.090000, bin_esq: 97.000000, bin_dir: 97.100000, local_j = 970
dado: 33.370000, bin_esq: 33.300000, bin_dir: 33.400000, local_j = 333
dado: 67.750000, bin_esq: 67.700000, bin_dir: 67.800000, local_j = 677
dado: 67.750000, bin_esq: 67.700000, bin_dir: 67.800000, local_j = 677
dado: 53.480000, bin_esq: 53.400000, bin_dir: 53.500000, local_j = 534
dado: 39.400000, bin_esq: 39.300000, bin_dir: 39.400000, local_j = 393
dado: 44.770000, bin_esq: 44.700000, bin_dir: 44.800000, local_j = 447
dado: 7.740000, bin_esq: 7.700000, bin_dir: 7.800000, local_j = 77
dado: 69.310000, bin_esq: 69.300000, bin_dir: 69.400000, local_j = 693
dado: 67.600000, bin_esq: 67.500000, bin_dir: 67.600000, local_j = 675
dado: 97.110000, bin_esq: 97.100000, bin_dir: 97.200000, local_j = 971
dado: 12.190000, bin_esq: 12.100000, bin_dir: 12.200000, local_j = 121
dado: 98.520000, bin_esq: 98.500000, bin_dir: 98.600000, local_j = 985
dado: 7.250000, bin_esq: 7.200000, bin_dir: 7.300000, local_j = 72
dado: 77.880000, bin_esq: 77.800000, bin_dir: 77.900000, local_j = 778
dado: 43.370000, bin_esq: 43.300000, bin_dir: 43.400000, local_j = 433
dado: 81.520000, bin_esq: 81.500000, bin_dir: 81.600000, local_j = 815
dado: 43.160000, bin_esq: 43.100000, bin_dir: 43.200000, local_j = 431
dado: 57.790000, bin_esq: 57.700000, bin_dir: 57.800000, local_j = 577
dado: 11.210000, bin_esq: 11.200000, bin_dir: 11.300000, local_j = 112
dado: 52.340000, bin_esq: 52.300000, bin_dir: 52.400000, local_j = 523
dado: 32.810000, bin_esq: 32.800000, bin_dir: 32.900000, local_j = 328
dado: 89.490000, bin_esq: 89.400000, bin_dir: 89.500000, local_j = 894
dado: 56.210000, bin_esq: 56.200000, bin_dir: 56.300000, local_j = 562
dado: 39.150000, bin_esq: 39.100000, bin_dir: 39.200000, local_j = 391
dado: 28.950000, bin_esq: 28.900000, bin_dir: 29.000000, local_j = 289
dado: 63.980000, bin_esq: 63.900000, bin_dir: 64.000000, local_j = 639
dado: 26.380000, bin_esq: 26.300000, bin_dir: 26.400000, local_j = 263
dado: 7.540000, bin_esq: 7.500000, bin_dir: 7.600000, local_j = 75
dado: 76.330000, bin_esq: 76.300000, bin_dir: 76.400000, local_j = 763
dado: 28.450000, bin_esq: 28.400000, bin_dir: 28.500000, local_j = 284
dado: 91.280000, bin_esq: 91.200000, bin_dir: 91.300000, local_j = 912
dado: 25.340000, bin_esq: 25.300000, bin_dir: 25.400000, local_j = 253
dado: 73.310000, bin_esq: 73.300000, bin_dir: 73.400000, local_j = 733
dado: 82.280000, bin_esq: 82.200000, bin_dir: 82.300000, local_j = 822
dado: 44.340000, bin_esq: 44.300000, bin_dir: 44.400000, local_j = 443
dado: 59.320000, bin_esq: 59.300000, bin_dir: 59.400000, local_j = 593
dado: 28.410000, bin_esq: 28.400000, bin_dir: 28.500000, local_j = 284
dado: 42.400000, bin_esq: 42.300000, bin_dir: 42.400000, local_j = 423
dado: 51.090000, bin_esq: 51.000000, bin_dir: 51.100000, local_j = 510
dado: 20.640000, bin_esq: 20.600000, bin_dir: 20.700000, local_j = 206
dado: 13.180000, bin_esq: 13.100000, bin_dir: 13.200000, local_j = 131
dado: 96.980000, bin_esq: 96.900000, bin_dir: 97.000000, local_j = 969
dado: 20.190000, bin_esq: 20.100000, bin_dir: 20.200000, local_j = 201
dado: 99.660000, bin_esq: 99.600000, bin_dir: 99.700000, local_j = 996
dado: 5.050000, bin_esq: 5.000000, bin_dir: 5.100000, local_j = 50
dado: 9.160000, bin_esq: 9.100000, bin_dir: 9.200000, local_j = 91
dado: 19.280000, bin_esq: 19.200000, bin_dir: 19.300000, local_j = 192
dado: 48.500000, bin_esq: 48.400000, bin_dir: 48.500000, local_j = 484
dado: 34.170000, bin_esq: 34.100000, bin_dir: 34.200000, local_j = 341
dado: 24.010000, bin_esq: 24.000000, bin_dir: 24.100000, local_j = 240
dado: 34.000000, bin_esq: 33.900000, bin_dir: 34.000000, local_j = 339
dado: 10.620000, bin_esq: 10.600000, bin_dir: 10.700000, local_j = 106
dado: 97.310000, bin_esq: 97.300000, bin_dir: 97.400000, local_j = 973
dado: 62.660000, bin_esq: 62.600000, bin_dir: 62.700000, local_j = 626
dado: 62.260000, bin_esq: 62.200000, bin_dir: 62.300000, local_j = 622
dado: 19.280000, bin_esq: 19.200000, bin_dir: 19.300000, local_j = 192
dado: 57.500000, bin_esq: 57.400000, bin_dir: 57.500000, local_j = 574
dado: 61.020000, bin_esq: 61.000000, bin_dir: 61.100000, local_j = 610
dado: 81.390000, bin_esq: 81.300000, bin_dir: 81.400000, local_j = 813
dado: 16.970000, bin_esq: 16.900000, bin_dir: 17.000000, local_j = 169
